Informācijas sistēmu menedžmenta augstskola,Informācijas sistēmas,Profesionālā bakalaura studiju programma
Informācijas sistēmu menedžmenta augstskola,Informācijas sistēmas,Profesionālā studiju programma
Informācijas sistēmu menedžmenta augstskola,Kultūras projektu vadība,1.līmeņa profesionālā studiju programma
Informācijas sistēmu menedžmenta augstskola,Nekustamā īpašuma uzņēmējdarbība,1.līmeņa profesionālā studiju programma
Informācijas sistēmu menedžmenta augstskola,Starptautiskās tirdzniecības tirgvedība,Profesionālā maģistra studiju programma
Informācijas sistēmu menedžmenta augstskola,Tirdzniecība un tirgvedība,1.līmeņa profesionālā studiju programma
Informācijas sistēmu menedžmenta augstskola,Tūrisma uzņēmējdarbības vadītājs,Profesionālā bakalaura studiju programma
Informācijas sistēmu menedžmenta augstskola,Tūrisma uzņēmējdarbības vadītājs,Profesionālā bakalaura studiju programma
Informācijas sistēmu menedžmenta augstskola,Tūrisma uzņēmējdarbības vadītājs,Profesionālā studiju programma
Informācijas sistēmu menedžmenta augstskola,Uzņēmējdarbība nekustamā īpašuma sfērā,1.līmeņa profesionālā studiju programma
Informācijas sistēmu menedžmenta augstskola,Uzņēmējdarbība restorānu biznesā,1.līmeņa profesionālā studiju programma
